country_group,iso,Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Estimates Start After,,
major-advanced,JPN,Japan,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","22,330.96","23,102.06","23,700.45","24,366.79","25,298.50","26,457.11","27,192.00","28,341.81","30,137.03","31,477.76","32,908.17","33,898.24","34,065.15","33,779.34","33,980.73","34,785.81","35,797.50","36,062.77","35,509.48","35,324.27","36,230.93","36,284.70","36,223.57","36,712.20","37,485.39","38,156.35","38,681.72","39,252.31","38,791.51","36,623.68","38,111.41","38,049.96","38,657.45","39,500.44","39,683.85","40,348.24","40,657.98","41,408.95","41,757.97","41,680.51","40,015.08","40,984.54","41,536.25","42,262.86",2021,,
other-advanced,CZE,Czech Republic,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"22,775.97","23,833.84","23,738.38","23,676.73","24,026.62","25,015.95","25,893.25","26,379.25","27,347.48","28,656.47","30,537.76","32,525.38","34,234.50","34,851.06","32,965.44","33,650.93","34,162.84","33,834.28","33,784.40","34,560.82","36,333.73","37,200.66","39,031.09","40,169.32","41,231.95","38,802.15","40,151.25","41,855.54","41,571.40",2021,,
LA-C,ABW,Aruba,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,n/a,"20,697.36","24,298.02","28,664.21","31,480.46","31,485.14","32,750.51","33,496.20","33,659.97","34,586.94","34,471.24","33,552.15","34,542.22","34,372.96","34,374.85","36,636.95","37,813.88","37,198.23","37,185.65","39,054.94","37,910.69","37,655.07","38,530.06","38,939.16","34,159.06","33,137.61","33,940.92","33,020.16","34,779.68","34,405.80","35,264.56","35,736.80","37,690.15","39,609.10","39,757.36","32,552.07","37,998.95","40,012.08","40,482.89",2021,,
euro-area,ESP,Spain,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","21,052.38","20,769.30","20,914.60","21,160.93","21,434.80","21,863.94","22,549.10","23,780.87","24,984.51","26,182.61","27,142.16","27,753.98","27,897.86","27,445.91","28,011.21","29,097.70","29,733.43","30,801.42","32,065.50","33,414.52","34,809.16","35,990.15","36,385.40","36,784.30","37,347.22","37,999.01","38,933.75","39,557.32","39,260.54","37,468.85","37,373.57","36,931.45","35,814.51","35,443.83","36,046.06","37,465.35","38,570.38","39,647.79","40,382.95","40,854.65","36,036.17","37,991.22","39,899.45","40,336.64",2021,,
euro-area,LTU,Lithuania,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"10,652.60","11,296.31","12,325.46","13,343.53","13,285.16","13,873.40","14,900.90","16,035.04","17,873.97","19,263.33","21,093.65","23,021.99","25,884.83","26,836.20","23,109.13","23,988.61","26,018.36","27,383.20","28,643.77","29,913.02","30,807.02","31,987.07","33,826.61","35,514.62","37,255.72","37,237.61","39,380.87","39,895.98","40,188.63",2022,,
euro-area,EST,Estonia,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"12,169.28","12,247.79","12,761.28","13,591.13","15,541.07","16,372.05","16,254.52","17,807.86","18,997.60","20,412.88","22,102.63","23,748.03","26,159.64","28,884.09","31,215.35","29,692.90","25,397.99","26,078.19","28,057.35","29,066.95","29,596.01","30,548.74","31,113.33","32,085.78","33,903.13","35,063.86","36,240.23","35,969.41","38,810.65","38,286.15","37,838.34",2021,,
ED-E,POL,Poland,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","12,314.84","10,984.56","10,357.01","10,783.71","10,652.06","10,981.04","11,294.90","11,496.11","11,862.49","12,302.39","11,311.92","10,492.00","10,677.41","11,101.88","11,659.25","12,443.76","13,210.28","14,135.45","14,831.71","15,499.92","16,330.67","16,531.54","16,775.32","17,372.95","18,251.94","18,900.29","20,067.91","21,502.80","22,411.69","23,034.22","23,780.67","24,953.57","25,338.46","25,556.35","26,568.13","27,741.62","28,589.87","30,054.83","31,838.53","33,258.73","32,599.47","34,940.55","36,824.34","36,987.99",2022,,
euro-area,PRT,Portugal,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","16,489.86","16,923.35","17,184.07","17,270.74","17,025.20","17,256.53","17,813.22","19,177.93","20,223.04","21,599.09","23,347.49","24,189.96","24,966.53","24,764.62","25,065.86","25,555.58","26,352.04","27,388.98","28,561.19","29,509.66","30,421.13","30,794.54","30,862.49","30,460.71","30,931.34","31,115.60","31,564.12","32,291.79","32,348.24","31,308.65","31,837.94","31,343.85","30,194.56","30,080.45","30,482.57","31,157.64","31,887.22","33,086.05","34,083.36","34,989.25","32,051.28","33,831.75","36,107.31","36,469.77",2022,,
LA-C,BHS,Bahamas,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","33,956.71","32,355.67","33,608.82","35,093.01","35,150.63","36,118.64","36,429.62","37,147.76","37,210.26","37,424.53","37,191.47","35,040.52","33,123.78","32,657.60","33,109.97","33,859.06","34,692.09","35,801.96","36,877.67","38,877.40","39,850.62","40,292.50","40,786.23","39,706.75","39,511.81","40,313.50","40,826.72","40,923.12","39,506.35","37,426.29","37,582.52","37,395.25","38,123.77","36,623.27","36,887.85","36,844.08","36,124.68","36,815.41","37,075.45","37,361.23","28,146.48","31,654.63","34,743.20","35,821.51",2019,,
ED-E,HUN,Hungary,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","16,158.83","16,628.24","17,117.85","17,279.19","17,790.63","17,815.32","18,155.48","18,982.03","19,051.39","19,270.30","18,679.61","16,460.87","15,955.72","15,876.98","16,368.63","16,806.20","16,846.12","17,409.35","18,125.27","18,731.10","19,629.45","20,473.23","21,496.61","22,445.24","23,626.77","24,687.74","25,715.41","25,814.92","26,128.59","24,438.73","24,743.68","25,276.28","25,095.98","25,607.64","26,777.89","27,829.80","28,517.56","29,832.94","31,496.97","33,043.93","31,552.55","33,932.85","35,608.22","35,816.44",2021,,
other-advanced,#N/A,Puerto Rico,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","16,801.89","16,842.61","16,189.93","16,121.45","17,142.05","17,328.07","18,557.26","19,270.14","20,306.64","21,076.31","21,653.67","22,009.33","22,858.01","23,750.37","24,561.74","25,481.32","25,861.84","26,897.72","28,403.10","29,389.91","30,124.84","32,906.42","33,577.33","34,341.88","35,017.11","34,370.83","34,030.14","33,832.14","33,403.59","32,930.52","32,960.84","33,224.69","33,639.04","33,922.30","34,070.28","34,301.81","34,492.82","34,627.22","34,151.10","34,724.61","33,640.69","33,281.81","35,267.28","35,766.01",2021,,
euro-area,HRV,Croatia,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"14,090.31","13,259.26","14,351.61","15,549.19","16,311.73","17,098.94","17,692.05","17,322.56","18,681.71","19,625.66","20,759.09","21,915.71","22,821.27","23,776.93","24,940.79","26,183.68","26,708.48","24,815.48","24,569.43","24,627.32","24,127.31","24,099.05","24,097.15","24,905.22","25,977.15","27,183.16","28,196.97","29,326.32","26,922.59","31,767.73","33,998.23","34,693.96",2020,,
ME-CA,OMN,Oman,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","17,340.34","18,743.00","20,898.60","22,500.56","23,920.42","27,394.50","26,233.11","23,704.31","24,947.62","24,264.59","29,040.09","29,713.85","31,116.53","31,925.16","32,132.40","32,760.80","32,895.83","34,184.46","34,435.92","33,919.63","35,395.50","36,404.37","35,526.59","34,173.71","34,254.98","34,563.35","35,469.83","36,468.16","38,889.68","39,822.23","39,237.21","36,734.05","36,375.71","35,967.35","35,181.38","35,464.46","35,102.33","34,082.45","34,208.01","33,702.77","33,891.38","34,241.97","34,936.04","34,414.83",2021,,
ED-E,ROU,Romania,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","13,559.11","13,492.24","13,952.19","14,729.69","15,550.24","15,464.55","15,752.54","15,788.63","15,627.68","14,668.22","13,828.44","12,059.04","11,044.28","11,274.75","11,789.98","12,706.99","13,282.53","12,545.15","12,000.90","11,919.38","12,268.89","12,906.74","14,012.70","14,473.56","16,047.58","16,908.64","18,373.08","19,813.44","22,197.32","21,165.15","20,482.89","21,512.87","22,036.36","22,175.07","23,175.10","24,000.43","24,822.71","27,020.78","28,812.19","30,103.22","29,120.26","31,034.91","32,793.82","33,962.37",2021,,
euro-area,SVK,Slovakia,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"12,072.49","12,749.83","13,677.00","14,596.02","15,327.97","15,926.93","15,893.18","16,062.85","16,646.79","17,396.93","18,367.51","19,347.94","20,626.33","22,377.13","24,799.83","26,168.41","24,711.65","26,332.21","27,025.52","27,321.69","27,461.48","28,175.58","29,601.90","30,150.08","30,983.99","32,186.79","32,953.50","31,797.99","32,745.07","33,444.82","33,865.23",2022,,
ED-E,TUR,Turkey,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","9,122.79","9,306.73","9,408.98","9,637.19","10,072.02","10,282.99","10,778.57","11,633.68","11,662.99","11,485.36","12,332.08","12,237.75","12,758.21","13,563.63","12,622.22","13,321.68","14,040.15","14,873.72","15,117.16","14,416.15","15,198.58","14,133.90","14,864.25","15,537.13","16,852.71","18,141.34","19,159.89","19,882.14","19,783.25","18,558.16","19,804.92","21,728.07","22,496.66","24,074.30","24,929.24","26,095.08","26,599.44","28,242.49","28,660.97","28,485.73","28,878.96","31,752.91","33,284.40","33,781.81",2022,,
euro-area,LVA,Latvia,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"10,056.62","8,936.98","9,276.86","9,544.09","9,914.20","10,898.96","11,705.00","12,135.60","12,918.79","13,901.06","15,094.38","16,519.25","18,067.43","20,242.59","22,888.30","25,380.68","24,746.83","21,502.16","20,954.22","21,969.05","23,858.78","24,590.25","25,337.91","26,526.08","27,390.75","28,571.46","29,953.72","30,954.04","30,467.20","31,947.42","32,644.05","32,838.72",2021,,
LA-C,PAN,Panama,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","11,318.97","12,067.12","12,415.51","11,586.91","11,633.17","11,938.23","12,096.12","11,624.18","9,857.41","9,804.47","10,383.51","11,121.95","11,782.14","12,167.57","12,257.76","12,219.63","12,854.09","13,410.41","14,103.49","14,357.98","14,456.96","14,249.16","14,283.53","14,600.28","15,399.57","16,198.69","17,260.77","19,004.18","20,509.87","20,407.11","21,231.75","23,240.43","25,084.05","26,375.43","27,268.89","28,381.54","29,332.60","30,510.96","31,174.05","31,646.19","25,605.04","29,130.71","31,620.89","32,773.87",2020,,
SSA,SYC,Seychelles,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","11,061.66","10,504.30","10,226.38","10,175.69","10,551.16","11,543.27","11,558.94","11,618.55","12,191.84","13,365.76","14,291.89","14,492.09","15,460.50","16,247.52","15,434.66","15,283.17","16,566.32","18,369.53","18,458.25","18,438.05","19,051.43","18,602.47","18,481.90","17,381.66","16,948.85","18,391.16","19,705.31","21,647.35","20,725.01","20,417.75","21,110.63","22,904.88","23,547.74","24,597.11","25,359.90","26,276.18","27,490.20","28,530.63","29,121.16","29,736.37","27,213.25","29,116.81","31,411.05","32,354.28",2015,,
euro-area,GRC,Greece,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","24,064.72","23,405.42","23,005.59","22,610.90","22,945.59","23,409.86","23,460.36","22,847.72","23,754.76","24,553.65","24,401.42","24,786.51","24,731.86","24,187.53","24,532.69","24,938.23","25,525.14","26,567.03","27,436.64","28,136.20","29,163.49","30,199.24","31,233.21","32,959.80","34,550.03","34,663.43","36,506.93","37,595.18","37,384.72","35,667.88","33,639.50","30,214.17","28,166.63","27,664.56","27,991.55","28,113.65","28,169.36","28,518.16","29,066.92","29,660.38","27,004.95","29,392.16","31,258.86","32,204.01",2021,,
ED-A,MYS,Malaysia,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","7,506.77","7,834.30","8,093.10","8,390.06","8,821.06","8,470.57","8,339.50","8,565.57","9,188.88","9,784.54","10,222.57","11,029.63","11,682.02","12,488.30","13,272.84","14,196.84","15,218.86","15,923.80","14,379.32","14,877.23","15,764.36","15,433.11","15,868.02","16,393.50","17,110.04","17,573.53","18,309.68","19,270.19","19,835.39","19,199.82","20,279.34","21,005.00","21,818.40","22,310.47","23,269.51","24,060.44","24,775.66","25,897.24","26,849.89","27,913.55","26,319.32","27,136.51","29,126.93","30,057.27",2021,,
ED-A,MDV,Maldives,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","4,669.14","4,847.27","5,050.33","5,087.16","5,767.68","6,312.61","6,602.66","7,005.92","7,423.96","7,908.21","7,303.09","7,455.06","7,719.57","7,920.64","8,293.76","8,739.74","9,330.51","10,087.02","10,848.68","11,400.59","11,767.13","11,914.19","12,434.62","15,345.20","16,022.62","13,716.82","16,996.38","17,953.09","19,357.21","17,661.46","18,632.16","19,894.43","20,058.60","21,163.88","22,340.18","22,605.20","23,641.21","24,927.36","26,507.37","27,864.40","18,262.19","25,458.76","28,124.72","29,658.97",2014,,
ED-E,RUS,Russia,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"21,433.20","20,296.62","17,320.61","15,801.68","13,796.63","13,241.94","12,782.71","12,986.21","12,311.12","13,150.91","14,529.96","15,338.28","16,141.89","17,403.78","18,721.77","19,993.88","21,680.72","23,550.15","24,787.88","22,833.74","23,856.88","25,032.04","25,986.48","26,383.75","26,105.56","25,542.03","25,546.35","25,999.32","26,747.21","27,341.10","26,720.80","28,342.53","28,170.79","28,418.17",2021,,
ME-CA,KAZ,Kazakhstan,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"10,921.63","10,003.88","9,354.28","8,655.26","8,808.22","9,130.42","9,096.43","9,375.70","10,319.47","11,723.98","12,859.23","13,975.83","15,191.73","16,507.35","18,062.85","19,449.97","19,575.31","19,540.08","20,663.73","21,902.71","22,676.64","23,663.59","24,320.04","24,209.92","24,089.26","24,699.30","25,378.79","26,184.84","25,172.41","25,363.34","25,868.18","26,665.24",2021,,
LA-C,TTO,Trinidad and Tobago,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","15,177.74","15,624.14","15,956.59","14,085.98","13,080.38","12,378.51","11,840.21","11,194.61","10,669.90","10,505.38","10,591.76","10,850.45","11,872.39","11,727.33","12,088.10","12,501.90","13,358.19","14,336.99","15,478.94","16,691.63","17,798.06","18,391.35","19,620.59","22,232.92","23,740.93","25,016.72","28,431.67","29,507.85","30,338.39","28,733.60","29,566.44","29,332.27","30,464.69","31,427.84","32,266.49","31,835.85","29,526.52","28,004.63","27,645.25","27,574.03","25,374.55","24,982.99","25,471.13","26,148.04",2019,,
ED-E,BGR,Bulgaria,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","14,795.58","15,533.74","16,139.76","16,582.35","17,314.62","17,613.64","18,553.00","19,451.00","19,971.12","19,958.62","18,257.45","16,432.25","15,204.86","13,594.48","13,252.66","13,189.07","12,256.00","10,607.39","11,086.76","10,204.13","10,564.18","11,327.28","12,061.66","12,765.79","13,667.37","14,711.97","15,793.51","16,930.56","18,047.91","17,542.62","17,952.76","18,774.38","19,026.92","19,021.79","19,321.65","20,119.25","20,882.41","21,616.97","22,355.87","23,421.10","22,607.56","24,609.70","25,590.44","26,108.46",2021,,
LA-C,KNA,Saint Kitts and Nevis,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","7,133.85","7,365.28","7,855.15","7,733.62","8,529.08","9,138.84","10,022.29","10,941.77","12,163.99","12,957.00","13,669.75","13,919.08","14,226.71","14,823.72","15,430.54","15,771.88","16,516.35","17,535.25","17,526.46","18,011.51","19,521.53","20,282.56","20,273.40","19,201.68","19,692.23","21,324.48","21,728.53","21,607.44","23,760.80","22,707.91","22,470.98","22,587.96","22,221.24","23,233.74","24,731.43","24,656.76","25,360.27","25,340.71","25,364.89","26,124.75","22,102.38","21,686.52","23,389.35","24,196.63",2015,,
LA-C,CHL,Chile,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","8,545.72","8,928.30","7,591.10","7,261.66","7,569.29","7,599.91","7,884.93","8,259.44","8,711.70","9,475.52","9,662.90","10,228.26","11,109.64","11,655.22","12,055.74","12,941.47","13,396.83","14,194.62","14,598.29","14,378.35","14,915.17","15,210.40","15,525.85","16,089.70","16,986.65","17,798.92","18,685.93","19,449.36","19,968.98","19,531.29","20,452.65","21,486.07","22,561.05","23,084.61","23,266.31","23,523.90","23,678.41","23,671.48","24,179.86","23,905.93","22,032.02","24,293.79","24,630.98","24,156.63",2020,,
SSA,MUS,Mauritius,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","5,009.32","5,225.96","5,446.25","5,417.10","5,616.71","5,954.08","6,484.36","7,090.14","7,519.71","7,795.54","8,296.48","8,571.44","9,010.33","9,356.66","9,608.20","9,934.37","10,382.75","10,836.73","11,374.51","11,524.05","12,346.20","12,642.75","12,759.55","13,425.58","13,915.27","14,034.06","14,599.26","15,365.21","16,134.48","16,625.14","17,311.63","17,988.68","18,566.03","19,147.68","19,840.18","20,545.45","21,328.23","22,148.85","23,017.42","23,686.00","20,219.56","20,962.53","22,740.89","23,790.53",2021,,
LA-C,URY,Uruguay,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","12,138.74","12,284.82","11,059.45","10,345.54","10,129.95","10,096.01","10,792.26","11,366.23","11,355.45","11,417.38","11,388.40","11,723.22","12,577.59","12,834.83","13,640.29","13,359.34","14,017.45","14,556.88","15,094.55","14,697.46","14,355.53","13,794.07","12,745.82","12,880.32","13,512.66","14,473.34","15,041.19","16,021.35","17,149.28","17,797.51","19,081.13","19,972.45","20,595.64","21,465.01","22,073.38","22,069.82","22,357.80","22,637.31","22,662.60","22,660.77","21,200.62","22,058.27","23,058.63","23,444.61",2015,,
ED-E,MNE,Montenegro,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"12,439.22","12,526.36","12,714.12","12,978.77","13,525.53","14,072.96","15,265.83","16,282.73","17,421.14","16,376.21","16,788.50","17,306.17","16,821.22","17,401.38","17,694.68","18,282.83","18,819.03","19,703.46","20,710.63","21,559.03","18,279.58","20,650.59","21,958.10","22,646.19",2021,,
LA-C,ARG,Argentina,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","18,295.43","16,941.52","16,135.87","16,504.37","16,552.43","15,143.02","16,019.23","16,239.41","15,729.40","14,448.22","13,961.36","15,221.16","16,562.77","17,340.00","18,118.16","17,387.03","18,130.83","19,376.36","19,898.28","19,016.97","18,669.29","17,667.36","15,591.77","16,829.23","18,158.06","19,577.84","20,947.87","22,610.96","23,297.92","21,706.68","23,521.27","24,647.63","24,118.87","24,424.14","23,550.10","23,933.89","23,189.53","23,597.12","22,747.24","22,071.75","19,680.30","21,511.59","22,415.30","22,237.76",2010,,
LA-C,CRI,Costa Rica,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","10,304.65","9,773.99","8,798.19","8,793.06","9,229.79","9,023.83","9,245.16","9,418.95","9,483.90","9,765.13","9,872.70","9,866.14","10,539.02","10,998.45","11,162.69","11,300.75","11,148.62","11,463.63","11,987.24","12,197.34","12,760.62","12,727.74","12,936.72","13,283.94","13,653.14","13,982.47","14,784.53","15,771.54","16,279.90","15,902.11","16,443.35","16,948.67","17,546.98","17,756.30","18,156.75","18,593.60","19,145.00","19,711.65","20,002.17","20,271.55","19,204.60","20,492.55","21,177.30","21,553.44",2021,,
LA-C,DOM,Dominican Republic,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","6,194.06","6,314.59","6,275.55","6,413.90","6,341.69","6,059.92","6,122.87","6,580.45","6,565.76","6,706.20","6,216.83","6,168.02","6,736.66","7,101.83","7,161.59","7,443.12","7,761.73","8,318.83","8,736.93","9,117.25","9,403.75","9,504.66","9,800.07","9,538.21","9,659.02","10,439.47","11,267.42","11,967.65","12,211.27","12,194.67","13,074.43","13,341.20","13,561.01","14,071.39","14,912.89","15,791.32","16,684.41","17,301.38","18,334.61","19,090.48","17,652.97","19,647.30","20,440.74","21,124.14",2019,,
ED-E,SRB,Serbia,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"6,837.39","7,004.87","7,978.20","8,624.74","9,070.96","9,720.84","10,176.43","11,122.97","12,289.29","12,967.89","13,859.04","14,705.32","14,361.08","14,524.33","14,932.56","14,902.91","15,408.77","15,237.76","15,588.00","16,193.00","16,621.47","17,463.78","18,318.29","18,274.16","19,732.73","20,258.03","20,746.26",2021,,
ME-CA,LBY,Libya,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","77,340.09","59,118.27","57,312.16","52,409.68","46,065.24","46,602.44","39,765.46","32,527.56","31,016.38","31,803.75","35,012.30","40,476.41","37,770.37","34,921.93","35,348.51","29,264.49","29,225.59","27,992.88","27,304.06","26,824.14","27,423.47","27,715.65","26,283.00","30,075.80","31,313.67","34,143.23","33,636.56","35,175.76","34,521.44","32,559.48","33,737.31","17,087.65","30,094.64","24,746.83","19,065.78","18,718.12","18,256.66","23,949.33","25,595.53","22,505.11","15,718.95","19,973.34","17,241.88","20,066.08",2019,,
LA-C,ATG,Antigua and Barbuda,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","8,035.76","8,408.23","8,498.55","9,085.16","10,172.61","11,136.62","12,635.45","13,710.61","14,643.63","15,554.76","16,039.01","16,255.25","16,178.64","16,656.31","17,319.23","16,128.20","16,729.48","17,159.38","17,493.07","17,704.02","18,413.06","17,280.97","17,283.49","18,158.99","19,016.09","20,042.07","22,351.83","24,170.78","23,896.36","20,795.89","18,939.34","18,363.32","18,714.42","18,332.51","18,747.15","19,171.55","19,917.68","20,231.29","21,297.87","22,000.22","17,299.23","17,946.51","18,822.63","19,587.43",2011,,
LA-C,MEX,Mexico,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","15,382.36","16,282.50","15,808.53","14,900.75","15,059.33","15,050.46","14,275.53","14,219.47","14,111.82","14,405.04","14,864.31","15,205.52","15,462.02","15,610.23","16,107.46","14,850.68","15,609.96","16,427.70","17,025.02","17,248.74","17,862.55","17,555.73","17,308.62","17,320.65","17,761.17","17,930.84","18,477.01","18,624.14","18,553.79","17,308.16","17,929.57","18,325.54","18,738.30","18,748.61","19,044.55","19,442.92","19,732.02","19,933.50","20,162.00","19,923.18","18,157.50","18,840.64","19,247.26","19,430.95",2020,,
ED-E,BLR,Belarus,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"8,980.75","8,868.63","7,999.97","7,375.37","6,520.10","5,826.44","6,008.82","6,728.35","7,331.22","7,596.74","8,057.66","8,465.72","8,944.30","9,640.58","10,818.21","11,921.31","13,204.75","14,421.56","15,959.19","16,033.04","17,317.20","18,279.55","18,618.57","18,815.51","19,128.72","18,378.65","17,882.39","18,334.76","18,954.13","19,267.04","19,176.06","19,737.82","18,896.62","19,126.47",2022,,
