country_group,iso,Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Estimates Start After
SSA,DEU,Germany,Unemployment rate,Percent of total labor force,,Source: National Statistics Office Latest actual data: 2022 Notes: Data until 1990 refers to German federation only (West Germany). Data from 1991 refer to United Germany. Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 09/2023,3.359,4.831,6.734,8.099,8.058,8.124,7.834,7.843,7.735,6.79,6.155,5.47,6.592,7.775,8.425,8.233,8.908,9.658,9.383,8.558,7.95,7.8,8.6,9.708,10.333,11.008,10.042,8.542,7.425,7.225,6.575,5.517,5.083,4.95,4.708,4.367,3.908,3.567,3.208,2.975,3.625,3.575,3.067,3.264,2022
euro-area,GHA,Ghana,Unemployment rate,Percent of total labor force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA-C,GRC,Greece,Unemployment rate,Percent of total labor force,,"Source: National Statistics Office. Formally, the National Statistical Office (ELSTAT) Latest actual data: 2022 Notes: The historical data source for unit labor costs in manufacturing is Eurostat. Employment type: National definition Primary domestic currency: Euro Data last updated: 09/2023",2.663,4,5.8,7.9,8.1,7.8,7.4,7.4,7.7,7.5,7,7.7,8.7,9.7,9.6,10,10.3,10.3,11.2,12.125,11.35,10.775,10.35,9.775,10.6,10,9,8.4,7.75,9.6,12.725,17.85,24.425,27.475,26.5,24.9,23.55,21.45,19.3,17.325,16.325,14.775,12.425,10.826,2022
LA-C,GRD,Grenada,Unemployment rate,Percent of total labor force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSA,GTM,Guatemala,Unemployment rate,Percent of total labor force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSA,GIN,Guinea,Unemployment rate,Percent of total labor force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA-C,GNB,Guinea-Bissau,Unemployment rate,Percent of total labor force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA-C,GUY,Guyana,Unemployment rate,Percent of total labor force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA-C,HTI,Haiti,Unemployment rate,Percent of total labor force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other-advanced,HND,Honduras,Unemployment rate,Percent of total labor force,,Source: National Statistics Office. National Institute of Statistics of Honduras Latest actual data: 2022. Last population census Employment type: National definition Primary domestic currency: Honduran lempira Data last updated: 09/2023,6.864,7.018,6.667,6.504,6.349,6.818,6.667,7.092,6.944,6.667,4.267,4.58,3.06,3.157,3.202,3.24,4.37,3.32,4.02,3.85,3.918,4,4.02,5.3,5.99,4.909,3.575,3.211,3.156,3.292,4.119,4.474,3.754,4.096,5.488,6.147,6.727,5.528,5.648,5.386,10.912,8.569,8.9,8.082,2022
ED-E,HKG,Hong Kong SAR,Unemployment rate,Percent of total labor force,,Source: National Statistics Office. Data retrieved from CEIC Latest actual data: 2022 Employment type: National definition Primary domestic currency: Hong Kong dollar Data last updated: 08/2023,3.8,3.9,3.522,4.35,3.875,3.182,2.819,1.737,1.365,1.079,1.332,1.797,1.959,1.971,1.919,3.186,2.765,2.201,4.704,6.251,4.946,5.086,7.32,7.94,6.809,5.591,4.79,4.011,3.519,5.262,4.329,3.421,3.286,3.401,3.296,3.315,3.393,3.124,2.805,2.916,5.808,5.175,4.319,3.171,2022
other-advanced,HUN,Hungary,Unemployment rate,Percent of total labor force,,"Source: National Statistics Office Latest actual data: 2022. Economically active population aged 15-64 (Available from 2009 based on authorities' data source. Pre-2009, the series show economically active pop. Aged 15-74) Employment type: Harmonized ILO definition Primary domestic currency: Hungarian forint Data last updated: 09/2023",0.607,0.232,0.154,0.173,0.117,0.041,0.212,0.315,0.463,0.531,2.082,8.415,9.303,11.29,10.118,10.17,9.89,8.73,7.8,7,6.433,5.74,5.843,5.901,6.122,6.8,7.075,7,7.425,9.675,10.775,10.675,10.675,9.825,7.525,6.625,4.975,4.05,3.6,3.3,4.125,4.05,3.6,3.9,2022
ED-A,ISL,Iceland,Unemployment rate,Percent of total labor force,,"Source: Labor Directorate Latest actual data: 2022 Notes: LHEM series is from the OECD, hourly earnings in the manufacturing sector Employment type: National definition Primary domestic currency: Icelandic króna Data last updated: 09/2023",0.313,0.365,0.67,1.022,1.254,0.906,0.656,0.441,0.636,1.658,2.594,2.925,4.665,5.764,5.776,5.25,4.153,4.204,3.314,2.489,2.633,2.791,3.515,3.525,3.417,2.883,3.2,2.492,3.325,8.008,8.317,7.7,6.617,5.833,5.417,4.5,3.342,3.283,3.1,3.925,6.433,6.017,3.75,3.388,2022
ED-A,IND,India,Unemployment rate,Percent of total labor force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IDN,Indonesia,Unemployment rate,Percent of total labor force,,"Source: National Statistics Office. CEIC and EMED Emerging Asia Latest actual data: 2022. Since 2004 the authorities issue unemployment data twice a year, February and August. Annual uses the last data available Employment type: National definition Primary domestic currency: Indonesian rupiah Data last updated: 09/2023",n/a,n/a,n/a,n/a,1.62,2.22,2.75,2.64,2.89,2.86,2.59,2.67,2.79,2.83,4.47,7.42,4.998,4.77,5.46,6.36,6.08,8.1,9.06,9.67,9.86,11.24,10.28,9.11,8.39,7.87,7.14,6.56,6.14,6.25,5.94,6.18,5.61,5.5,5.24,5.18,7.07,6.49,5.86,5.3,2022
ME-CA,IRN,Islamic Republic of Iran,Unemployment rate,Percent of total labor force,,Source: National Statistics Office Latest actual data: FY2021/22. The fiscal year data are mapped to calendar year as follows: FY(t/t+1) = CY(t) Employment type: National definition Primary domestic currency: Iranian rial Data last updated: 09/2023,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,14.2,10,10,10,10,10,9.085,11.897,13.569,15.777,16.046,16.626,12.2,11.3,12.3,11.5,11.3,10.5,10.4,11.9,13.5,12.3,12.1,10.4,10.6,11,12.425,12.075,12.125,10.65,9.6,9.175,9.32,9.424,2022
ME-CA,IRQ,Iraq,Unemployment rate,Percent of total labor force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
euro-area,IRL,Ireland,Unemployment rate,Percent of total labor force,,"Source: National Statistics Office. Central Statistical Office of Ireland (CSO), data is from the Labor Force Survey (LFS) and is the average of the quarterly observations. Latest actual data: 2022 Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 09/2023",n/a,n/a,n/a,n/a,n/a,17.7,18.1,18.8,18.4,17.9,17.2,19,16.3,16.7,15.1,14.1,11.8,9.858,7.55,5.908,4.392,4.175,4.725,4.85,4.75,4.633,4.775,5,6.8,12.65,14.6,15.4,15.492,13.775,11.9,9.933,8.383,6.758,5.783,4.983,5.842,6.258,4.492,4.06,2022
other-advanced,ISR,Israel,Unemployment rate,Percent of total labor force,,Source: National Statistics Office Latest actual data: 2022 Employment type: National definition. Seasonally adjusted. Primary domestic currency: Israeli new shekel Data last updated: 09/2023,4.78,5.115,5.048,4.562,5.893,6.693,7.078,6.057,6.428,8.881,9.567,10.585,11.155,10.015,7.828,6.863,8.325,9.525,10.675,11.075,10.9,11.625,12.875,13.4,12.9,11.2,10.45,9.15,7.65,9.425,8.25,7.05,6.85,6.208,5.883,5.25,4.825,4.225,3.992,3.817,4.292,4.95,3.75,3.533,2022
euro-area,ITA,Italy,Unemployment rate,Percent of total labor force,,Source: National Statistics Office Latest actual data: 2022 Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 09/2023,7.37,7.649,8.288,7.367,7.833,8.167,8.867,9.617,9.683,9.667,8.858,8.533,8.808,9.833,10.633,11.15,11.15,11.242,11.333,10.942,10.1,9.1,8.608,8.45,8.033,7.758,6.867,6.2,6.792,7.867,8.5,8.583,10.892,12.35,12.792,12.033,11.717,11.3,10.608,9.9,9.342,9.517,8.117,7.9,2022
LA-C,JAM,Jamaica,Unemployment rate,Percent of total labor force,,Source: International Financial Institution. National Statistics Office if data is not yet available in IFS. Latest actual data: 2021 Employment type: National definition Primary domestic currency: Jamaican dollar Data last updated: 08/2023,27.262,25.941,27.577,26.378,25.512,25.01,23.654,20.968,19.089,15.2,15.7,15.4,15.7,16.3,15.4,16.2,16,16.5,15.5,15.7,15.5,15,14.2,11.8,12.2,11.225,10.325,9.85,10.575,11.35,12.375,12.4,13.925,15.275,13.75,13.5,13.2,11.65,9.125,7.7,10.2,8.375,n/a,n/a,2021
major-advanced,JPN,Japan,Unemployment rate,Percent of total labor force,,Source: Cabinet Office of Japan via Haver Analytics Latest actual data: 2022 Employment type: National definition Primary domestic currency: Japanese yen Data last updated: 09/2023,2.017,2.208,2.35,2.658,2.708,2.625,2.767,2.85,2.517,2.25,2.1,2.092,2.15,2.5,2.892,3.15,3.367,3.4,4.1,4.667,4.733,5.042,5.358,5.242,4.733,4.425,4.117,3.833,3.983,5.075,5.058,4.583,4.325,4.008,3.583,3.375,3.108,2.825,2.442,2.358,2.783,2.808,2.592,2.45,2022
ME-CA,JOR,Jordan,Unemployment rate,Percent of total labor force,,Source: National Statistics Office Latest actual data: 2021 Employment type: National definition Primary domestic currency: Jordanian dinar Data last updated: 08/2023,n/a,n/a,n/a,n/a,5.361,5.976,8.037,8.391,8.805,10.282,16.8,18.8,17.6,19.6,15.8,15.4,13.1,14.4,13.5,14.38,13.706,14.691,15.325,14.439,14.7,14.844,14.058,12.7,12.65,12.85,12.475,12.875,12.15,12.6,11.875,13.075,15.275,18.3,18.6,19.075,22.7,24.075,22.85,n/a,2021
ME-CA,KAZ,Kazakhstan,Unemployment rate,Percent of total labor force,,Source: National Statistics Office Latest actual data: 2022 Employment type: National definition Primary domestic currency: Kazakhstani tenge Data last updated: 09/2023,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,7.536,10.983,12.959,13.008,13.116,13.465,12.753,10.433,9.318,8.754,8.38,8.088,7.788,7.257,6.627,6.554,5.762,5.388,5.283,5.192,5.136,5.037,4.93,4.872,4.828,4.794,4.925,4.9,4.875,4.775,2022
SSA,KEN,Kenya,Unemployment rate,Percent of total labor force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ED-A,KIR,Kiribati,Unemployment rate,Percent of total labor force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ED-E,KOR,Korea,Unemployment rate,Percent of total labor force,,Source: National Statistics Office Latest actual data: 2022 Employment type: National definition Primary domestic currency: South Korean won Data last updated: 09/2023,5.2,4.5,4.133,4.117,3.85,4.025,3.842,3.108,2.525,2.583,2.458,2.45,2.525,2.9,2.475,2.067,2.058,2.617,6.95,6.583,4.425,4,3.258,3.55,3.658,3.75,3.475,3.258,3.175,3.633,3.708,3.408,3.225,3.1,3.492,3.592,3.675,3.683,3.833,3.783,3.942,3.675,2.883,2.675,2022
ME-CA,KWT,Kuwait,Unemployment rate,Percent of total labor force,,Source: National Statistics Office Latest actual data: 2022 Employment type: National definition Primary domestic currency: Kuwaiti dinar Data last updated: 09/2023,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.8,1.8,1.94,2.08,2.22,2.36,2.5,2.567,2.633,2.7,2.767,2.833,2.9,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2022
ED-A,KGZ,Kyrgyz Republic,Unemployment rate,Percent of total labor force,,Source: ILO Latest actual data: 2022 Employment type: Harmonized ILO definition Primary domestic currency: Kyrgyz som Data last updated: 08/2023,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4.114,5.742,7.815,5.747,5.874,7.196,7.544,7.839,12.55,9.903,8.53,8.117,8.267,8.153,8.219,8.417,8.644,8.53,8.427,8.332,8.046,7.554,7.211,6.891,6.922,6.922,8.656,9.014,9.014,9.014,2022
euro-area,LAO,Lao P.D.R.,Unemployment rate,Percent of total labor force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ME-CA,LVA,Latvia,Unemployment rate,Percent of total labor force,,"Source: National Statistics Office Latest actual data: 2022 Notes: Labor statistics are based on Labor Force Survey data, which were revised in 2011 in compliance with Population and Housing Census 2011 results. The data have been revised accordingly from 2001 onwards. Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 09/2023",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3.178,6.951,6.951,6.951,20.711,15.167,13.958,14.067,14.342,13.475,12.492,11.65,11.742,10.042,7.033,6.075,7.75,17.55,19.475,16.208,15.048,11.868,10.847,9.875,9.642,8.715,7.415,6.311,8.099,7.557,6.851,6.665,2022
SSA,LBN,Lebanon,Unemployment rate,Percent of total labor force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSA,LSO,Lesotho,Unemployment rate,Percent of total labor force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ME-CA,LBR,Liberia,Unemployment rate,Percent of total labor force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
euro-area,LBY,Libya,Unemployment rate,Percent of total labor force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
euro-area,LTU,Lithuania,Unemployment rate,Percent of total labor force,,Source: National Statistics Office Latest actual data: 2022 Employment type: Eurostat harmonized data Primary domestic currency: Euro Data last updated: 09/2023,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,14.6,16.375,17.362,13.737,12.441,10.884,8.324,5.778,4.248,5.827,13.787,17.814,15.39,13.366,11.77,10.699,9.119,7.861,7.073,6.146,6.254,8.488,7.113,5.925,6.5,2022
other-advanced,LUX,Luxembourg,Unemployment rate,Percent of total labor force,,Source: National Statistics Office Latest actual data: 2022 Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 09/2023,0.723,1.015,1.33,1.615,1.748,1.667,1.458,1.669,1.536,1.402,1.256,1.38,1.634,2.105,2.732,2.961,3.241,3.302,3.057,2.89,2.4,2.217,2.5,3.292,3.692,4.083,4.233,4.183,4.142,5.483,5.817,5.667,6.099,6.83,7.092,6.648,6.263,5.843,5.103,5.403,6.363,5.744,4.806,5.237,2022
SSA,MAC,Macao SAR,Unemployment rate,Percent of total labor force,,Source: National Statistics Office Latest actual data: 2021 Employment type: National definition Primary domestic currency: Macanese pataca Data last updated: 09/2023,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,6.375,6.275,6.05,4.875,4.15,3.775,3.05,3.025,3.55,2.825,2.575,2,1.85,1.7,1.825,1.9,1.975,1.8,1.725,2.55,2.95,3,2.65,2021
SSA,MDG,Madagascar,Unemployment rate,Percent of total labor force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ED-A,MWI,Malawi,Unemployment rate,Percent of total labor force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ED-A,MYS,Malaysia,Unemployment rate,Percent of total labor force,,Source: CEIC/IMF staff/NSO Latest actual data: 2022 Employment type: National definition Primary domestic currency: Malaysian ringgit Data last updated: 09/2023,n/a,n/a,n/a,n/a,n/a,6.893,8.261,8.207,8.079,6.715,5.055,4.345,3.718,3.026,2.947,3.143,2.516,2.445,3.225,3.425,3.1,3.675,3.475,3.6,3.55,3.55,3.325,3.225,3.325,3.675,3.3,3.05,3.025,3.1,2.875,3.15,3.45,3.425,3.325,3.275,4.525,4.65,3.825,3.625,2022
SSA,MDV,Maldives,Unemployment rate,Percent of total labor force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
euro-area,MLI,Mali,Unemployment rate,Percent of total labor force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ED-A,MLT,Malta,Unemployment rate,Percent of total labor force,,"Source: Eurostat, Labor Force Survey Latest actual data: 2022 Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 09/2023",n/a,n/a,n/a,12.5,12.5,12.2,11,8.2,6.2,4.636,4.8,4.4,4.9,5.4,5.4,4.9,5.2,6.2,6.6,7.1,6.758,7.617,7.025,7.567,7.217,6.942,6.817,6.467,5.975,6.883,6.842,6.392,6.2,6.108,5.733,5.392,4.7,4,3.658,3.633,4.358,3.408,2.917,3.1,2022
ME-CA,MHL,Marshall Islands,Unemployment rate,Percent of total labor force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSA,MRT,Mauritania,Unemployment rate,Percent of total labor force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA-C,MUS,Mauritius,Unemployment rate,Percent of total labor force,,Source: National Statistics Office Latest actual data: 2021 Employment type: Harmonized ILO definition Primary domestic currency: Mauritian rupee Data last updated: 09/2023,n/a,n/a,20.563,19.721,17.623,15.306,10.941,5.963,3.888,3.6,2.824,2.732,3.342,3.939,4.492,5.116,5.785,6.561,6.888,7.698,6.501,6.8,7.2,7.698,8.395,9.567,9.081,8.522,7.222,7.328,7.8,7.9,8.1,8,7.8,7.9,7.3,7.1,6.9,6.7,9.2,9.1,7.7,7.38,2021
ED-A,MEX,Mexico,Unemployment rate,Percent of total labor force,,Source: National Statistics Office Latest actual data: 2021 Employment type: National definition Primary domestic currency: Mexican peso Data last updated: 09/2023,1.2,0.9,4.2,6.1,5.6,4.4,4.3,3.883,3.542,2.925,2.742,2.692,2.83,3.43,3.7,6.23,5.45,3.73,3.16,2.5,2.2,2.768,2.978,3.4,3.919,3.478,3.527,3.611,3.888,5.33,5.273,5.171,4.928,4.938,4.835,4.347,3.875,3.419,3.322,3.49,4.408,4.142,3.275,2.888,2021
ED-E,FSM,Micronesia,Unemployment rate,Percent of total labor force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ED-A,MDA,Moldova,Unemployment rate,Percent of total labor force,,Source: National Statistics Office Latest actual data: 2022 Employment type: National definition Primary domestic currency: Moldovan leu Data last updated: 08/2023,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2.899,15,14.4,13,12,9.232,11.118,8.5,7.3,6.8,7.9,8.1,7.3,7.4,5.1,4,6.4,7.4,6.7,5.6,5.1,3.9,5.025,4.225,4.125,3.05,5.125,3.825,3.25,4.6,4.931,2022
ED-E,MNG,Mongolia,Unemployment rate,Percent of total labor force,,Source: National Statistics Office Latest actual data: 2022 Employment type: National definition Primary domestic currency: Mongolian tögrög Data last updated: 08/2023,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,11.3,9.2,11.6,9.9,7.7,8.2,7.9,7.9,7.5,10,8.8,7.8,10,7,8.1,7.29,6.561,2022
ME-CA,MNE,Montenegro,Unemployment rate,Percent of total labor force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSA,MAR,Morocco,Unemployment rate,Percent of total labor force,,Source: National Statistics Office Latest actual data: 2022 Employment type: Harmonized ILO definition Primary domestic currency: Moroccan dirham Data last updated: 09/2023,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,16,15.5,15.4,15.2,13.8,13.4,12.3,11.3,11.5,10.8,11.1,9.7,9.8,9.6,9.1,9.1,8.9,9,9.2,9.9,9.7,9.4,10.2,9.5,9.2,11.9,12.3,11.8,12.038,2022
ED-A,MOZ,Mozambique,Unemployment rate,Percent of total labor force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSA,MMR,Myanmar,Unemployment rate,Percent of total labor force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ED-A,NAM,Namibia,Unemployment rate,Percent of total labor force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ED-A,NRU,Nauru,Unemployment rate,Percent of total labor force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
euro-area,NPL,Nepal,Unemployment rate,Percent of total labor force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other-advanced,NLD,Netherlands,Unemployment rate,Percent of total labor force,,Source: National Statistics Office Latest actual data: 2022 Employment type: Harmonized OECD definition Primary domestic currency: Euro Data last updated: 08/2023,3.354,4.583,6.525,8.254,8.09,7.327,6.52,6.337,6.247,5.674,5.112,4.799,4.865,5.53,6.193,7.733,7.099,6.101,4.93,4.139,3.66,3.137,3.665,5.921,6.773,6.961,6.079,5.295,4.77,5.422,6.082,6.05,6.823,8.204,8.338,7.887,7.005,5.873,4.881,4.436,4.851,4.226,3.537,3.7,2022
LA-C,NZL,New Zealand,Unemployment rate,Percent of total labor force,,Source: National Statistics Office. Statistics New Zealand Latest actual data: 2022 Employment type: National definition. Data refer to calendar years Primary domestic currency: New Zealand dollar Data last updated: 09/2023,4.019,3.911,4.358,6.241,7.186,3.922,4.2,4.225,5.8,7.325,7.975,10.625,10.675,9.8,8.35,6.45,6.325,6.875,7.725,7.05,6.15,5.475,5.3,4.75,4.025,3.8,3.875,3.625,4.025,5.9,6.2,6.05,6.45,5.825,5.425,5.425,5.175,4.75,4.325,4.1,4.6,3.775,3.3,3.799,2022
SSA,NIC,Nicaragua,Unemployment rate,Percent of total labor force,,Source: Central Bank Latest actual data: 2022 Employment type: National definition Primary domestic currency: Nicaraguan Córdoba Data last updated: 09/2023,13.448,11.8,12.4,11,12,12.5,13.1,14,14.2,15,15.5,14.9,14.4,15,17.1,16.907,15.953,14.274,13.213,10.683,9.8,6.4,12.2,6.998,6.537,5.559,5.193,5.935,6.062,8.158,7.829,5.93,5.912,5.746,6.557,5.909,4.481,3.67,5.5,5.341,6.486,11.1,7.518,7.157,2022
SSA,NER,Niger,Unemployment rate,Percent of total labor force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ED-E,NGA,Nigeria,Unemployment rate,Percent of total labor force,,Source: National Statistics Office Latest actual data: 2020. There is no data for the period between 2018Q3 and 2020Q2 and for 2020Q3. Latest actual data available from the source is 2020Q4. Employment type: The new definition of unemployment uses a variant of the ILO definition. People who worked 20-40 hours are now reported as underemployed rather than unemployed. Primary domestic currency: Nigerian naira Data last updated: 09/2023,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,5.092,5.957,10.566,9.955,7.841,9,13.375,17.462,22.562,n/a,n/a,n/a,n/a,n/a,2020
other-advanced,MKD,North Macedonia,Unemployment rate,Percent of total labor force,,Source: National Statistics Office Latest actual data: 2022 Employment type: National definition Primary domestic currency: Macedonian denar Data last updated: 09/2023,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,31.992,36.104,34.481,32.411,31.727,30.515,31.944,36.687,37.15,37.25,36.025,34.925,33.775,32.175,32.05,31.375,31,29,28.025,26.05,23.75,22.375,20.725,17.25,16.375,15.425,14.375,14.3,2022
ME-CA,NOR,Norway,Unemployment rate,Percent of total labor force,,Source: National Statistics Office Latest actual data: 2022 Employment type: National definition Primary domestic currency: Norwegian krone Data last updated: 09/2023,1.65,2.001,2.606,3.426,3.147,2.588,1.962,2.084,3.149,4.908,5.229,5.469,5.915,5.948,5.393,4.906,4.833,4.034,3.186,3.172,3.426,3.546,3.889,4.494,4.471,4.616,3.444,2.539,2.747,3.266,3.794,3.364,3.294,3.773,3.617,4.531,4.74,4.216,3.854,3.728,4.595,4.41,3.252,3.6,2022
ME-CA,OMN,Oman,Unemployment rate,Percent of total labor force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ED-A,PAK,Pakistan,Unemployment rate,Percent of total labor force,,"Source: National Statistics Office Latest actual data: FY2020/21. Fiscal year data are mapped to calendar year as follows: FY(t/t+1) = CY(t+1) Employment type: Employment/Unemployment definitions follow ILO criteria, but are applied to all individuals aged 10 years old or more Primary domestic currency: Pakistan rupee Data last updated: 09/2023",n/a,n/a,n/a,3.85,3.75,3.65,3.3,3.071,3.142,3.141,3.13,5.85,5.85,4.73,4.84,5.37,5.37,6.12,5.89,5.89,7.82,7.82,8.27,8.27,7.69,7.69,6.2,5.2,5.2,5.46,5.55,5.95,5.95,5.975,6,5.9,5.88,5.832,5.8,6.9,6.562,6.3,6.2,8.5,2021
LA-C,PLW,Palau,Unemployment rate,Percent of total labor force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ED-A,PAN,Panama,Unemployment rate,Percent of total labor force,,Source: National Statistics Office Latest actual data: 2021 Employment type: National definition Primary domestic currency: US dollar Data last updated: 09/2023,8.375,9.184,10.981,11.573,12.216,14.418,12.504,14.102,18.78,18.939,16.719,15.971,14.674,13.262,14.008,14.019,14.317,13.37,11.599,9.532,13.526,14.026,13.489,13.042,11.749,9.781,8.662,6.372,5.579,6.557,6.516,4.481,4.05,4.098,4.823,5.052,5.494,6.13,5.956,7.07,18.548,11.293,8.8,8,2021
LA-C,PNG,Papua New Guinea,Unemployment rate,Percent of total labor force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA-C,PRY,Paraguay,Unemployment rate,Percent of total labor force,,Source: National Statistics Office Latest actual data: 2022 Employment type: National definition Primary domestic currency: Paraguayan guaraní Data last updated: 09/2023,n/a,n/a,n/a,8.3,7.3,5.1,6.1,5.5,4.7,6.1,6.6,5.1,5.3,5.1,4.4,3.3,8.2,5,5.8,6.8,7.3,7.6,10.8,8.059,7.307,5.831,6.653,5.601,5.728,6.398,5.674,5.621,4.573,5.021,6.038,5.351,5.998,6.086,6.236,6.569,7.708,7.51,6.808,6.19,2022
ED-A,PER,Peru,Unemployment rate,Percent of total labor force,,Source: National Statistics Office Latest actual data: 2022 Employment type: National definition Primary domestic currency: Peruvian sol Data last updated: 09/2023,7.326,6.8,6.4,9,8.9,4.589,5.3,4.8,4.156,7.9,8.3,5.9,9.4,9.9,8.8,7.1,7.2,8.6,6.9,9.4,7.847,9.246,9.42,9.424,9.436,9.579,8.542,8.419,8.377,8.387,7.88,7.727,6.798,5.945,5.938,6.49,6.742,6.876,6.7,6.579,13,10.7,7.8,7.55,2022
