country_group,iso,Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Estimates Start After
LA-C,COL,Colombia,Total investment,Percent of GDP,,"Source: National Statistics Office Latest actual data: 2022 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2015. DANE (Colombia Institute of Statistics) has done a rebasing of the national accounts (now base year is 2015 and before 2005). Data with the new base is ONLY AVAILABLE FROM 2005. The change also includes methodological changes (for example, direct estimation of private consumption based on a survey) and most important, change in the index formulae (historically a Laspeyres fixed-base index and now a Laspeyres chain index). The main implications are that the 2005 and 2015 series are not comparable and the chain index is associated with non-additivity of the components. Chain-weighted: Yes, from 2005 Primary domestic currency: Colombian peso Data last updated: 03/2023",21.418,23.063,22.894,22.278,21.361,21.549,20.617,22.425,24.731,22.541,20.898,18.034,19.403,23.828,28.857,28.914,25.321,23.877,22.489,14.868,15.822,17.04,18.345,19.866,20.673,21.656,22.939,23.455,23.721,21.988,21.889,22.996,22.105,22.183,24.003,23.774,23.167,21.599,21.195,21.381,2022
SSA,COM,Comoros,Total investment,Percent of GDP,,Source: National Statistics Office. National Statistics Office Latest actual data: 2021 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2007 Chain-weighted: No Primary domestic currency: Comorian franc Data last updated: 03/2023,89.82,89.82,89.82,89.82,29.952,17.965,10.639,13.963,13.5,13.251,13.714,10.335,14.056,13.015,15.257,15.495,14.731,14.907,17.632,14.792,13.775,13.691,14.312,14.459,14.536,15.261,15.686,16.887,19.249,17.991,18.175,16.021,16.152,16.356,15.203,13.759,13.144,14.278,15.947,16.473,2021
SSA,CPV,Cabo Verde,Total investment,Percent of GDP,,"Source: National Statistics Office Latest actual data: 2021 Notes: The national accounts data have been revised from 2002 onward. The new data are obtained through a new computation methodology that uses an updated input-output table. The base year for the constant prices data is 2007. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2007 Chain-weighted: Yes, from 2011 Primary domestic currency: Cabo Verdean escudo Data last updated: 02/2023",35.194,43.752,46.777,44.276,40.247,42.866,38.272,37.44,35.76,34.412,36.961,35.1,33.613,36.346,39.901,35.469,34.374,35.383,28.715,31.441,27.862,28.986,32.741,28.329,35.674,35.399,34.648,49.79,48.535,43.789,47.647,47.509,37.194,31.63,37.004,38.558,36.956,38.212,36.057,37.134,2021
euro-area,CRI,Costa Rica,Total investment,Percent of GDP,,"Source: Central Bank Latest actual data: 2022 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2017. As of January 2021, national accounts data reflect an updated series (including for all historical years) with 2017 as the benchmark year. Chain-weighted: No Primary domestic currency: Costa Rican colón Data last updated: 03/2023",25.452,27.898,23.731,21.653,21.765,24.97,24.32,26.177,23.57,25.615,26.27,18.402,20.434,21.029,20.771,19.542,17.75,20.054,22.662,21.08,20.687,20.115,19.886,18.965,18.93,18.964,21.086,23.287,24.611,18.453,19.834,20.048,19.854,19.59,19.223,18.854,18.889,18.065,18.37,16.064,2022
SSA,CYP,Cyprus,Total investment,Percent of GDP,,"Source: Eurostat Latest actual data: 2022 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: Yes, from 1995 Primary domestic currency: Euro Data last updated: 03/2023",49.257,44.078,42.744,40.706,45.339,41.512,36.289,34.963,36.51,42.291,36.643,34.434,38.195,32.59,33.052,26.518,24.175,23.887,18.897,19.639,20.319,17.664,20.268,19.525,21.964,22.344,24.504,24.245,28.802,22.772,23.85,18.748,15.989,12.821,13.41,13.135,17.288,20.717,19.217,19.779,2022
other-advanced,CZE,Czech Republic,Total investment,Percent of GDP,,"Source: National Statistics Office Latest actual data: 2021 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1995 Primary domestic currency: Czech koruna Data last updated: 03/2023",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,34.171,36.106,32.978,30.941,29.826,31.946,32.121,30.617,29.694,30.025,29.551,30.383,32.394,31.331,26.801,27.36,27.191,26.36,25.013,26.01,27.983,26.024,26.372,27.197,27.607,2021
SSA,DEU,Germany,Total investment,Percent of GDP,,"Source: National Statistics Office Latest actual data: 2022 Notes: Data until 1990 refers to German federation only (West Germany). National accounts data until 1990 do not include FISIM. Data from 1991 refer to United Germany and include FISIM. National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1991 Primary domestic currency: Euro Data last updated: 03/2023",30.068,27.302,25.456,26.484,26.224,25.143,25.171,24.704,25.552,26.509,27.406,25.772,25.26,23.939,24.33,24.327,23.262,23.376,24.02,24.003,24.487,22.96,20.776,20.437,19.839,19.485,20.571,21.38,21.446,18.556,20.066,21.635,19.716,20.054,20.37,19.743,19.967,20.962,21.92,22.121,2022
LA-C,DJI,Djibouti,Total investment,Percent of GDP,,Source: National Statistics Office Latest actual data: 2020. 2021 actual data delayed; annual data only National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2013 Chain-weighted: No Primary domestic currency: Djibouti franc Data last updated: 02/2023,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,15.436,12.979,13.766,13.301,10.746,5.917,6.362,6.71,8.523,6.007,7.515,6.825,9.103,13.086,14.701,16.102,24.269,30.288,32.35,25.987,14.787,17.142,18.308,56.874,2.855,-3.946,21.936,21.633,2.787,2.282,2020
LA-C,DMA,Dominica,Total investment,Percent of GDP,,Source: National Statistics Office Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2006 Chain-weighted: No Primary domestic currency: Eastern Caribbean dollar Data last updated: 03/2023,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,32.918,27.244,18.195,22.953,26.33,28.949,28.15,30.265,33.859,33.188,30.557,23.463,18.904,16.286,15.001,16.553,20.767,29.051,32.44,23.47,2020
ME-CA,DNK,Denmark,Total investment,Percent of GDP,,"Source: National Statistics Office Latest actual data: 2022 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: Yes, from 1980 Primary domestic currency: Danish krone Data last updated: 03/2023",20.124,17.014,18.271,18.364,20.603,22.1,23.785,22.022,21.057,21.323,20.798,19.612,18.94,17.378,18.734,20.686,20.064,22.062,22.655,20.888,22.352,21.825,21.343,20.922,21.691,22.206,24.298,25.278,23.984,19.088,18.076,19.127,19.466,19.691,20.091,20.631,21.775,22.053,22.599,21.853,2022
LA-C,DOM,Dominican Republic,Total investment,Percent of GDP,,"Source: Central Bank Latest actual data: 2021 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2007 Chain-weighted: Yes, from 2007 Primary domestic currency: Dominican peso Data last updated: 03/2023",24.112,21.159,19.727,18.322,15.444,15.036,16.812,19.454,19.757,21.812,20.833,16.648,18.791,19.758,21.004,20.05,20.054,22.101,28.069,27.113,27.893,26.771,26.957,19.409,20.627,24.773,26.927,28.351,30.024,23.573,26.38,25.026,24.296,22.724,23.113,23.442,22.972,22.472,25.796,26.005,2021
ME-CA,DZA,Algeria,Total investment,Percent of GDP,,"Source: National Statistics Office Latest actual data: 2021 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2001 Chain-weighted: Yes, from 2005 Primary domestic currency: Algerian dinar Data last updated: 03/2023",32.586,30.83,31.091,31.329,29.229,27.682,27.919,25.041,23.504,30.518,28.896,30.947,29.757,28.259,31.461,31.571,25.082,23.286,27.344,26.475,23.563,26.841,30.654,30.341,33.263,31.656,30.17,34.469,37.348,46.876,41.43,38.055,39.158,43.39,45.554,50.781,50.778,48.049,47.415,44.694,2021
ME-CA,ECU,Ecuador,Total investment,Percent of GDP,,Source: Central Bank Latest actual data: 2021 Notes: The national accounts have been updated from 2002 onwards. Prior to 2002 the data are adjusted to produce smooth series with the use of splicing technique. These estimates continue to serve as proxies for historical series when complete information is unavailable. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2007 Chain-weighted: No Primary domestic currency: US dollar Data last updated: 03/2023,20.217,19.762,22.503,14.413,14.541,16.007,17.267,18.408,17.631,16.993,14.614,18.416,17.702,18.861,18.325,17.226,15.778,18.014,21.925,15.952,21.279,22.349,23.702,19.59,20.199,21.637,22.46,22.705,26.388,25.639,28.037,28.142,27.796,28.467,28.314,26.87,24.979,26.28,26.748,25.906,2021
LA-C,EGY,Egypt,Total investment,Percent of GDP,,Source: Ministry of Economy and/or Planning. Ministry of Planning Latest actual data: FY2021/22 Notes: Data prior to 1987 cannot be confirmed by national sources at this time. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices. Data refer to fiscal years Reporting in calendar year: No. Fiscal year data are mapped to calendar year as follows: FY(t-1/t) = CY(t) Start/end months of reporting year: July/June Base year: FY2016/17 Chain-weighted: No Primary domestic currency: Egyptian pound Data last updated: 03/2023,33.994,33.368,33.845,28.791,26.775,24.864,22.614,24.746,33.271,30.215,27.413,20.141,17.298,15.439,15.76,16.317,15.754,18.845,20.285,19.788,18.596,17.366,19.908,19.32,19.194,21.205,23.104,27.51,28.487,21.895,21.298,17.084,18.603,16.553,15.892,16.618,17.445,17.145,18.709,20.054,2022
euro-area,ERI,Eritrea,Total investment,Percent of GDP,,Source: IMF Staff Estimates Latest actual data: 2019 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2011 Chain-weighted: No Primary domestic currency: Eritrean nakfa Data last updated: 02/2023,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,8.96,31.09,29.06,26.594,32.228,36.746,37.428,50.237,15.456,20.753,18.476,24.103,12.181,25.56,17.23,15.879,18.159,12.524,18.173,12.846,10.226,10.854,7.384,10.284,6.926,8.657,2.927,5.006,2019
ME-CA,ESP,Spain,Total investment,Percent of GDP,,"Source: National Statistics Office Latest actual data: 2022 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1995. Chain-weighted and converted to market prices Primary domestic currency: Euro Data last updated: 03/2023",22.829,22.344,22.13,21.467,19.819,20.269,20.885,22.13,24.027,25.41,25.683,24.954,22.979,20.989,20.906,21.978,21.787,22.15,23.54,25.211,26.64,26.459,26.684,27.503,28.285,29.387,30.565,30.442,28.455,23.303,22.303,20.572,18.436,17.21,17.894,18.987,18.744,19.401,20.468,20.829,2022
SSA,EST,Estonia,Total investment,Percent of GDP,,"Source: National Statistics Office Latest actual data: 2022 Notes: Data from 2003 onwards reflect methodological revisions. National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 2010 Primary domestic currency: Euro Data last updated: 03/2023",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,25.742,26.604,26.408,27.487,30.726,31.623,25.904,28.475,29.582,32.941,35.198,34.655,33.356,39.832,40.008,31.635,21.01,21.589,25.568,29.356,27.229,27.151,25.094,25.203,26.463,28.03,26.055,2022
ED-A,ETH,Ethiopia,Total investment,Percent of GDP,,Source: National Statistics Office Latest actual data: FY2020/21 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Factor costs. Data refer to fiscal years (July/June). Data for 2011 represent fiscal year 2010/11. Reporting in calendar year: No. Fiscal year data are mapped to calendar year as follows: FY(t-1/t) = CY(t). Start/end months of reporting year: July/June Base year: FY2015/16 Chain-weighted: No Primary domestic currency: Ethiopian birr Data last updated: 03/2023,15.749,15.3,15.497,13.74,18.744,12.057,17.9,16.785,22.784,15.69,13.81,11.516,10.594,16.389,17.47,12.352,17.515,13.393,15.194,15.203,20.217,21.528,22.838,21.006,25.05,22.384,23.914,20.781,21.244,24.677,25.524,32.108,37.098,34.081,37.982,39.417,37.349,38.444,34.163,35.264,2021
euro-area,FIN,Finland,Total investment,Percent of GDP,,"Source: National Statistics Office. Downloaded through Haver Analytics Latest actual data: 2022 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1980 Primary domestic currency: Euro Data last updated: 03/2023",31.224,28.377,28.654,28.372,27.208,26.926,26.036,26.788,29.09,31.983,30.139,24.092,21.073,18.584,19.761,20.286,20.182,21.701,22.961,22.355,23.815,23.132,22.009,22.183,22.828,24.558,23.958,25.516,25.212,21.436,22.048,24.008,23.355,22.301,21.894,21.686,23.239,23.977,25.237,24.063,2022
euro-area,FJI,Fiji,Total investment,Percent of GDP,,Source: National Statistics Office. Fiji Islands Bureau of Statistics Latest actual data: 2021 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Factor costs Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2014 Chain-weighted: No Primary domestic currency: Fijian dollar Data last updated: 02/2023,28.141,29.436,26.139,23.209,18.945,20.128,16.332,14.336,11.52,13.431,14.284,15.717,12.76,15.973,13.485,13.715,16.703,18.348,28.243,22.852,17.322,16.204,19.85,22.143,19.269,21.04,18.649,15.613,23.423,19.019,18.738,20.999,17.272,27.634,19.169,21.109,19.256,19.551,20.358,19.944,2021
SSA,FRA,France,Total investment,Percent of GDP,,"Source: National Statistics Office Latest actual data: 2021 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2014 Chain-weighted: Yes, from 1980 Primary domestic currency: Euro Data last updated: 03/2023",25.748,23.519,23.798,21.75,21.229,21.168,21.757,22.263,23.343,24.268,24.41,23.602,21.96,19.543,20.317,20.513,19.622,19.452,20.681,21.364,22.488,22.165,21.316,21.186,21.89,22.453,23.238,24.165,24.13,21.333,21.946,23.221,22.627,22.287,22.71,22.738,22.698,23.436,23.857,24.365,2021
ED-E,FSM,Micronesia,Total investment,Percent of GDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSA,GAB,Gabon,Total investment,Percent of GDP,,Source: Ministry of Economy and/or Planning Latest actual data: 2021 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2001 Chain-weighted: No Primary domestic currency: CFA franc Data last updated: 03/2023,33.472,41.533,40.596,44.375,41.263,47.534,42.426,36.203,40.364,27.922,23.011,28.923,23.976,23.514,22.817,24.7,21.035,33.373,41.402,25.443,21.585,29.227,31.94,28.661,26.516,24.958,26.607,26.258,22.82,29.091,25.926,23.837,29.115,33.26,35.926,35.049,34.966,31.274,27.691,31.646,2021
ME-CA,GBR,United Kingdom,Total investment,Percent of GDP,,"Source: National Statistics Office Latest actual data: 2022 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2019 Chain-weighted: Yes, from before 1980 Primary domestic currency: British pound Data last updated: 03/2023",19.109,17.792,18.296,19.116,20.071,20.132,20.016,21.391,23.648,24.754,23.167,20.37,19.213,18.736,18.76,18.59,18.781,17.516,17.986,17.834,18.236,17.945,18.037,17.699,17.618,17.779,18.092,18.463,17.502,14.826,16.208,15.83,15.858,16.074,17.279,17.719,17.864,18.31,17.971,18.138,2022
euro-area,GEO,Georgia,Total investment,Percent of GDP,,"Source: National Statistics Office Latest actual data: 2021 Notes: Data prior to 1996 cannot be confirmed by national sources. Data prior to 2010 are based on staff estimates. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1996 Primary domestic currency: Georgian lari Data last updated: 03/2023",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,20.21,18.285,27.721,27.057,27.143,28.918,26.019,32.049,32.65,34.266,31.575,32.803,26.561,13.329,20.524,22.204,25.876,20.991,25.406,26.295,30.152,27.29,28.123,25.299,2021
euro-area,GHA,Ghana,Total investment,Percent of GDP,,Source: National Statistics Office Latest actual data: 2021 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2013 Chain-weighted: No Primary domestic currency: Ghanaian cedi Data last updated: 03/2023,n/a,n/a,n/a,4.419,6.832,10.034,9.981,13.997,14.943,16.198,29.981,26.289,24.98,25.18,25.274,23.688,22.092,25.383,24.619,7.48,34.651,35.184,28.889,32.491,41.418,42.733,38.737,37.048,40.109,38.026,47.917,23.234,31.079,24.772,27.062,27.619,25.52,20.398,22.437,19.664,2021
SSA,GIN,Guinea,Total investment,Percent of GDP,,Source: National Statistics Office Latest actual data: 2020. No quarterly data produced Notes: Data prior to 1995 cannot be confirmed by national sources at this time. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: No Primary domestic currency: Guinean franc Data last updated: 03/2023,10.382,10.382,10.382,10.382,9.664,9.664,11.547,12.574,13.215,13.289,18.881,16.088,15.252,15.594,15.088,15.376,15.126,15.252,13.778,14.318,15.183,12.249,10.663,15.655,15.035,12.732,11.969,8.527,11.967,6.285,5.462,9.089,14.72,11.583,6.386,7.255,24.955,11.974,19.674,17.311,2020
ME-CA,GMB,The Gambia,Total investment,Percent of GDP,,Source: National Statistics Office Latest actual data: 2021 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2013 Chain-weighted: No Primary domestic currency: Gambian dalasi Data last updated: 03/2023,3.733,7.091,6.47,5.789,5.887,5.499,3.991,5.082,4.033,4.565,5.303,4.87,5.061,5.278,4.685,6.904,6.779,6.921,5.802,5.304,4.562,11.173,7.278,10.039,14.279,13.786,15.634,12.503,10.454,12.822,13.806,12.816,18.274,13.869,14.847,13.538,12.569,20.627,17.477,19.509,2021
LA-C,GNB,Guinea-Bissau,Total investment,Percent of GDP,,Source: National Statistics Office Latest actual data: 2021 Notes: Data prior to 1997 cannot be confirmed by national sources at this time. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: No Primary domestic currency: CFA franc Data last updated: 02/2023,144.45,91.037,99.518,84.405,116.063,89.233,78.437,86.036,111.116,104.283,75.373,58.122,74.769,60.138,100.603,40.375,39.272,53.928,30.609,21.945,20.061,18.882,23.596,27.648,20.962,18.253,20.079,24.273,17.339,18.365,19.494,15.846,19.354,19.23,20.14,14.975,18.131,18.121,19.167,16.165,2021
SSA,GNQ,Equatorial Guinea,Total investment,Percent of GDP,,"Source: Ministry of Economy and/or Planning. Ministry of Economy, Planning, and Public Investment, and Banque des Etats de l'Afrique Centrale (Central Bank) Latest actual data: 2021 Notes: Since 2006, IMF staff have estimated real GDP growth from hydrocarbon production and investment data and the government expenditure. The national authorities are considering the adoption of the IMF staff estimates. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2006 Chain-weighted: No Primary domestic currency: CFA franc Data last updated: 02/2023",35.72,29.747,75.666,55.066,43.52,29.038,31.696,39.111,37.3,37.579,54.355,46.192,35.155,39.654,53.542,78.15,115.102,73.121,107.981,75.978,60.229,52.688,55.424,43.328,34.941,28.897,26.501,29.586,27.542,39.393,38.056,32.049,41.148,30.308,28.709,24.701,16.699,14.032,12.501,10.892,2021
LA-C,GRC,Greece,Total investment,Percent of GDP,,"Source: National Statistics Office. Formally, the National Statistical Office (ELSTAT) Latest actual data: 2022 Notes: The National Statistical Office has significantly and repeatedly revised national accounts data over the course of the past several years. Official data are only available from 1995. Data prior to 1995 came from European Commission Macro Forecasts (AMECO database). National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1995 Primary domestic currency: Euro Data last updated: 03/2023",34.516,38.101,19.182,27.449,8.78,11.219,16.088,26.086,20.418,23.333,24.083,20.614,22.304,21.336,18.61,11.85,12.504,12.813,18.315,24.076,19.951,20.677,19.076,18.196,20.473,16.119,15.498,21.424,20.52,26.401,17.986,14.031,12.098,11.944,11.892,12.076,12.838,12.022,13.15,12.437,2022
LA-C,GRD,Grenada,Total investment,Percent of GDP,,Source: National Statistics Office Latest actual data: 2021 Notes: Historical values for expenditure based GDP components are not reported by authorities and are estimated by IMF staff using data from balance of payments and fiscal accounts. GDP expenditure component estimates prior 2014 have been removed due to internal inconsistencies arising from methodological changes to international trade estimates from the balance of payments applicable to data reported after 2014. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2006 Chain-weighted: No Primary domestic currency: Eastern Caribbean dollar Data last updated: 03/2023,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,18.273,17.733,20.057,20.94,24.285,24.545,2021
SSA,GTM,Guatemala,Total investment,Percent of GDP,,"Source: Central Bank. Also use data from Haver. Latest actual data: 2021 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2013 Chain-weighted: Yes, from 2001 Primary domestic currency: Guatemalan quetzal Data last updated: 03/2023",16.118,17.222,14.232,11.651,11.59,11.6,10.444,13.981,13.845,13.694,15.479,15.538,20.316,19.7,17.717,17.412,15.28,16.9,20.143,20.723,20.09,19.934,20.661,20.484,21.082,20.066,21.085,21.281,16.677,13.53,14.47,16.038,15.917,16.595,14.971,15.14,13.852,13.583,13.869,14.254,2021
LA-C,GUY,Guyana,Total investment,Percent of GDP,,"Source: National Statistics Office Latest actual data: 2021 Notes: Components of GDP by expenditure after 2007 (private and public consumption, private and public investment) are estimates because authorities stopped producing the data. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Factor costs Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2012. Projected real GDP growth in 2020 is potentially overstated and subject to large subsequent revisions because of the very high growth rate of oil GDP, which in turn is elevated on account of the very high oil price in the base year, 2012. A rebasing exercise is expected in 2021 that will resolve this problem, once the data becomes available Chain-weighted: No Primary domestic currency: Guyanese dollar Data last updated: 03/2023",28.524,31.734,23.836,20.305,24.828,25.388,24.076,20.738,14.416,14.248,19.222,17.617,22.593,16.916,12.392,15.061,14.207,16.662,14.899,12.532,12.122,11.019,9.46,9.371,10.313,15.568,16.163,16.019,14.7,12.845,13.087,15.244,13.549,12.123,12.476,10.347,11.407,13.09,12.895,13.4,2021
ED-E,HKG,Hong Kong SAR,Total investment,Percent of GDP,,"Source: National Statistics Office. Data retrieved from Haver Latest actual data: 2021 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2020 Chain-weighted: Yes, from 1980 Primary domestic currency: Hong Kong dollar Data last updated: 03/2023",34.853,34.94,30.983,26.669,24.418,21.5,23.432,26.068,28.352,26.523,27.17,26.921,28.177,27.25,31.379,34.291,31.8,34.2,29.004,24.98,27.582,25.491,23.181,22.38,22.357,21.06,22.285,21.396,21.041,21.847,23.89,24.143,25.22,24.03,23.822,21.541,21.507,22.069,21.995,18.19,2021
other-advanced,HND,Honduras,Total investment,Percent of GDP,,Source: Central Bank Latest actual data: 2021 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2000 Chain-weighted: No Primary domestic currency: Honduran lempira Data last updated: 03/2023,23.958,20.318,12.387,12.57,17.01,16.56,12.236,16.292,19.673,17.758,21.241,22.589,24.525,32.189,35.704,27.905,26.98,27.572,26.622,32.647,28.288,26.001,24.258,25.281,29.666,27.623,28.342,33.665,36.066,20.599,21.88,26,24.564,21.76,22.184,25.118,23.377,24.821,26.572,22.731,2021
other-advanced,HRV,Croatia,Total investment,Percent of GDP,,"Source: National Statistics Office. By the former Central Bureau of Statistics of the Republic of Croatia (CroStat), now the Croatian Bureau of Statistics (CBS, www.dzs.hr). Latest actual data: 2021 Notes: The authorities produce data from 1995 only; Earlier data for the GDP and its components result from splicing. The GDP estimates include all economic activities within the ESA 2010 production boundary, covering both registered and unregistered activities. In addition to the unregistered activities covered since the implementation of ESA 1995 in 2009, since September 2014 CBS is also covering data on illegal activities within ESA 2010. National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices. Gross domestic product (GDP) by expenditure approach is valued at market prices and gross value added (GVA) by production approach is valued at basic prices. Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: No Primary domestic currency: Euro Data last updated: 03/2023",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,16.297,-1.497,13.137,16.813,20.077,25.591,21.574,19.865,20.05,21.247,24.487,27.865,26.646,26.748,28.927,28.812,30.445,24.89,20.875,19.694,18.563,19.121,18.738,20.362,20.767,21.717,23.175,22.891,2021
LA-C,HTI,Haiti,Total investment,Percent of GDP,,Source: National Statistics Office Latest actual data: FY2020/21 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: No. Fiscal year data are mapped to calendar year as follows: FY(t-1/t) = CY(t) Start/end months of reporting year: October/September Base year: FY2011/12. Fiscal year 2011-2012 Chain-weighted: No Primary domestic currency: Haitian gourde Data last updated: 03/2023,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,8.205,8.845,7.713,8.177,8.709,8.596,8.286,8.299,12.473,10.781,11.747,12.979,12.028,13.053,12.607,24.989,19.075,17.509,17.504,16.521,14.052,16.935,20.212,18.71,20.322,2021
